Step 0 of 12 - This is the non-rotated graph 
0,1,11
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
Step 1
1,2,0
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
Step 2
2,3,1
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
Step 3
3,4,2
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
Step 4
4,5,3
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
Step 5
5,6,4
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
Step 6
6,7,5
7,6,8
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
Step 7
7,8,6
8,7,9
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
Step 8
8,9,7
9,8,10
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
Step 9
9,10,8
10,9,11
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
Step 10
10,11,9
11,10,0
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
Step 11
11,0,10
0,11,1
1,0,2
2,1,3
3,2,4
4,3,5
5,4,6
6,5,7
7,6,8
8,7,9
9,8,10
10,9,11
